央视频道,#genre#
Channel 8,http://103.45.68.47:666/gy/gy817/xsj.php?id=channel8
Astro 爱奇艺,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-iqiyi
Astro 全佳台,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-quanjia
Astro Arena,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-arena-hd
Astro Arena 2,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-arena2
Astro Awani,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-awani
OKEY,http://103.45.68.47:666/gy/gy817/xsj.php?id=okey
TV9,http://103.45.68.47:666/gy/gy817/xsj.php?id=tv9
Astro Prima,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-prima
Astro Warna,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-warna
Astro Aura,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-aura
Astro Oasis,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-oasis
Astro Citra,http://103.45.68.47:666/gy/gy817/xsj.php?id=astro-citra
国家地理,http://103.45.68.47:666/gy/gy817/xsj.php?id=natgeo
国家地理野生,http://103.45.68.47:666/gy/gy817/xsj.php?id=natgeo-wild
DMAX,http://103.45.68.47:666/gy/gy817/xsj.php?id=dmax
探索科学,http://103.45.68.47:666/gy/gy817/xsj.php?id=discovery-sci
美食星球,http://103.45.68.47:666/gy/gy817/xsj.php?id=food-planet
TLC旅游生活,http://103.45.68.47:666/gy/gy817/xsj.php?id=tlc
EYE旅游,http://103.45.68.47:666/gy/gy817/xsj.php?id=eye-travel
HBO,http://103.45.68.47:666/gy/gy817/xsj.php?id=hbo-hd
HBO Hits,http://103.45.68.47:666/gy/gy817/xsj.php?id=hbo-hits-hd
马,http://103.45.68.47:666/gy/gy817/m.php
