港台频道,#genre#
astro AOD HD,http://ali.hlspull.yximgs.com/live/B1gkB9NNx6GSbdfme5aoKJSf7PZKYIgH.flv
戏曲台 HD,http://ali.hlspull.yximgs.com/live/S8FxKYVBP6Q3xtqV42bUVzfZzdaN5H68.flv
TVB magic HD,http://ali.hlspull.yximgs.com/live/KnAMVxmjBB8Qm9dPhSrvPutvomwITWXD.flv
爱尔达体育2台 FHD,http://ali.hlspull.yximgs.com/live/yGsMPsaMFcP2cq4aD8GWPnH5YepUQaRC.flv
纬来体育 FHD,http://ali.hlspull.yximgs.com/live/m6KoXeHKGizCTzpn7Qa4Y5q5xCEvectE.flv
公视3台 FHD,http://ali.hlspull.yximgs.com/live/YPGX0gsm0J60iONAOP42Sc4AE0KmUTVb.flv
东森洋片 FHD,http://ali.hlspull.yximgs.com/live/IFPE8u4G9S34fieC2sXfzziLjqiO34YJ.flv
博斯高球2 HD,http://ali.hlspull.yximgs.com/live/gx465s2zz9cLaQz5EWupiN7G033kJPHX.flv
卫视电影台,http://ali.hlspull.yximgs.com/live/BhmN8aNRhYY3fceNoCkWemNE2Xs457Or.flv
纬来电影 FHD,http://ali.hlspull.yximgs.com/live/QqTorVDYmRLMTCqcP8HDEE4gvNrngP7e.flv
KIX格斗台 HD,http://ali.hlspull.yximgs.com/live/dkLmhHfhmHnKMoPDqdaY79Uq5e47BIBr.flv
公视 HD,http://ali.hlspull.yximgs.com/live/gZObdsGUQ2C9V36uU04EFJYAb4DlIM9j.flv
TNT Sports 1 HD,http://ali.hlspull.yximgs.com/live/0B6JkY6Auvfd6Knmbp6oA1eWUCIWrsUv.flv
千禧经典台(北美) HD,http://ali.hlspull.yximgs.com/live/u0SnbKSCWoF9ny1R9EK9hV8kFfsxK5Sw.flv
黄金翡翠台 HD,http://ali.hlspull.yximgs.com/live/cB9ukilv8A2Lb3OIBU3YYriG5Wv5rikU.flv
HBO原创 FHD,http://ali.hlspull.yximgs.com/live/ty31QUFlYVLG9T1ZthicM0zcKp4J0Snf.flv
AXN洋片台 FHD,http://ali.hlspull.yximgs.com/live/C0mIbm3rSVFYOJtibqrGNdJbnG8MA1gf.flv
WBTV华纳影视 HD,http://ali.hlspull.yximgs.com/live/uArDn62BEt5Lq9cFAzWm5hU7dcxsWNRO.flv
国家地理高清 HD,http://ali.hlspull.yximgs.com/live/RT7YltrjjYfR4no9Dnko5Ty3xPJqG3Rr.flv
历史频道 HD,http://ali.hlspull.yximgs.com/live/l7JeGiKvAyIZ3sVOa02zkOJcOqAE74cu.flv
爱尔达体育3台 HD,http://ali.hlspull.yximgs.com/live/pN9a7KZVVlAnrJGe1je7iuPv2GsnxY4H.flv
凤凰香港 HD,http://ali.hlspull.yximgs.com/live/ITPskhawRGYx9Sqj6wyF6BSnuYiwk2Da.flv
华视 FHD,http://ali.hlspull.yximgs.com/live/81GHmfcYaN6LHVTeGnmzkENe9jlm7cus.flv
澳门莲花 FHD,http://ali.hlspull.yximgs.com/live/uoHZJJhRNT8EuHeChbtT5NfQ3XalgSmV.flv
中天新闻2 FHD,http://ali.hlspull.yximgs.com/live/zNeWA8cVFIsqav6fVKrPBvPYG7ZJfhMu.flv
CNN HD,http://ali.hlspull.yximgs.com/live/COM3zsaYe7UNSmpZWPL9SXKYSizUvcRT.flv
ESPN 2 HD,http://ali.hlspull.yximgs.com/live/LiSdkIQJtXUSR5XbTB35K0SAV3xsr1DR.flv
美亚电影台(国语) HD,http://ali.hlspull.yximgs.com/live/ka0rpbAKLko3auL8SVZiMFVA3ANwoNY4.flv
Viu HD,http://ali.hlspull.yximgs.com/live/xgQSiIMKnFfJYM8mfX5vvMaUB7k28JYr.flv
TVBS欢乐台 FHD,http://ali.hlspull.yximgs.com/live/wcZR56k3vqdiUKumkCg931DH01PCtr82.flv
Sky Sports Cricket FHD,http://ali.hlspull.yximgs.com/live/W1oTKcqiNJY5JydfZtebBembKNRKAiQZ.flv
NBC Golf FHD,http://ali.hlspull.yximgs.com/live/gt7KfY5flws14Z3qLk6fjvF0u7lfQtcY.flv
HBO家庭 FHD,http://ali.hlspull.yximgs.com/live/4zt2yISEc6HXqj96QhNOBPE9mPDZZJJJ.flv
翡翠华丽台 HD,http://ali.hlspull.yximgs.com/live/0kPmmjWnSlhBgirCRnc7usQ0pxWvMoKj.flv
ESPN HD,http://ali.hlspull.yximgs.com/live/RZT9zwSuE7EPCqPmDoWdb9HG0Q72KdYV.flv
CINEMAX FHD,http://ali.hlspull.yximgs.com/live/pJuGvOfzdgvE2jXonmhktnk90B3r2tRh.flv
TVBS新闻台 HD,http://ali.hlspull.yximgs.com/live/Hq7yQ2twAVfE1oSlng6C8ucU7Ypyjgts.flv
龙华洋片 HD,http://ali.hlspull.yximgs.com/live/m1gfuGPOlT3EBM6gEMdEonZpkkrdR8MU.flv
MTV Live HD,http://ali.hlspull.yximgs.com/live/kjupKs1k5Bc1OA5PlFk0Y1bPWRiehFn9.flv
镜新闻 FHD,http://ali.hlspull.yximgs.com/live/cwcHI00MpRTkqv0k6sg1U06i1Jkti18n.flv
中天亚洲台 FHD,http://ali.hlspull.yximgs.com/live/MUx4LEeiFtxEu76fEMAXaciDsdf255nD.flv
TSN 1,http://ali.hlspull.yximgs.com/live/viyDy0mEGLzMkZ015VQyu5otAiYABKgK.flv
BBC lifestyle HD,http://ali.hlspull.yximgs.com/live/6CbvGNUQjliTSZoQus4DJC6L6pPKyTMp.flv
HGTV HD,http://ali.hlspull.yximgs.com/live/JLwnJvOvsfTTHnPRzoskXWQRcoPUtbp7.flv
民视新闻台 FHD,http://ali.hlspull.yximgs.com/live/amw0zH33iL5bAUdRYjtLGTBGG3pUNv5e.flv
NHK World FHD,http://ali.hlspull.yximgs.com/live/xFDUC0Apff7qf5DPZlazVO2bxCwRoVDp.flv
寰宇新闻台湾台 HD,http://ali.hlspull.yximgs.com/live/x3khxbJQBq7bxgcNzHkEkej08rYurfcC.flv
One HD,http://ali.hlspull.yximgs.com/live/yXM1Ij6cnlbqRo7VsiDtZHArdZZ3EsJu.flv
