港台频道,#genre#
SONY sports 2 FHD,http://ali.hlspull.yximgs.com/live/IopmzKrD3eFQ1I32fr1BnSf9kKSPVzI9.flv
STV,http://ali.hlspull.yximgs.com/live/MbBrgTebUxa8n5Rxonsy7HXlMTOnJ5ve.flv
Eurosport 2 HD,http://ali.hlspull.yximgs.com/live/hXuHMVo61kyQcBOeVIeA7RgK67BSE7Hd.flv
TNT Sports 2 FHD,http://ali.hlspull.yximgs.com/live/n4RlxH3LNbDaCXZsA9LhuYaqN6PrVFAM.flv
TSN 1,http://ali.hlspull.yximgs.com/live/vveuB1hONzxC4Uc8nyzGwV1RYL7fXHYJ.flv
CBS SPORTS HD,http://ali.hlspull.yximgs.com/live/VHv0kk0YZ5yWChFBPwbY2OS1vKPt51xS.flv
TNT Sports 1 HD,http://ali.hlspull.yximgs.com/live/KV2WXZa5EN19NzxrZdnzgEUkd7QhZmXA.flv
True premier football 2 HD,http://ali.hlspull.yximgs.com/live/0WWtgjXt7LpPACaosz9yQjD4GL8ehZte.flv
FS1 HD,http://ali.hlspull.yximgs.com/live/uLKy4P1eb6QdZnWDBKtsrA5k9xq3sMwU.flv
True premier football 1 HD,http://ali.hlspull.yximgs.com/live/h5GOlsHgP6sPZ2fefmkI9uGNQEOEhnDK.flv
Eurosport 1 HD,http://ali.hlspull.yximgs.com/live/yND21yU9ZfVudvgadVIDzjyRVkbJK9xc.flv
astro Arena HD,http://ali.hlspull.yximgs.com/live/fruIghNDnYPWL4dm876uXZNuSgT8RaTO.flv
TNT Sports 4 FHD,http://ali.hlspull.yximgs.com/live/p6jnsrjREJ5ASJsEJJ5GyWcMeWnHtp2i.flv
TNT Sports 3 HD,http://ali.hlspull.yximgs.com/live/vwvjSVxa0q92Q5cIOLtmO3ljln7r2ff9.flv
Premier Sports HD,http://ali.hlspull.yximgs.com/live/5k1D3oSmi9tYVL3fDP0o2sR2CsQI00Pa.flv
SUPER FREE HD,http://ali.hlspull.yximgs.com/live/CBpCo0y7H9n5F2gD7qurb2sEyHc6CtBw.flv
Sky Sports Main Event FHD,http://ali.hlspull.yximgs.com/live/OSjZG0a9Pd7dcSt7dlyXsUUqUi5oQMTQ.flv
Sky Sports Golf FHD,http://ali.hlspull.yximgs.com/live/3nRIHu0O5q1NRk05nSwTzAxR6jmjqXjW.flv
博斯无限2 HD,http://ali.hlspull.yximgs.com/live/nTLHstPtRWlreT11j1XVZlxZIKqg8jG0.flv
FS2 HD,http://ali.hlspull.yximgs.com/live/iCkqUcolff2PTNlOWS2qX562YSlm3mvK.flv
ESPN HD,http://ali.hlspull.yximgs.com/live/QJzNLuqdphMPDaOfschPACYgb1f5j7IG.flv
HBO HD,http://ali.hlspull.yximgs.com/live/id6yv1LTT4yABCfQmwSl2bPcnzTd13s2.flv
ESPN 2 HD,http://ali.hlspull.yximgs.com/live/L1yQvdTsK8wSSOW4eonGDtaF5IFwuVnD.flv
卫视中文台 FHD,http://ali.hlspull.yximgs.com/live/QxiVFs88MC4l3nOY5AUZTbGCbJsTT4Mq.flv
HBO原创 FHD,http://ali.hlspull.yximgs.com/live/55GqloBwWHKcv28xHDrP3GRocVixC9rS.flv
天映经典,http://ali.hlspull.yximgs.com/live/Bu8plB2VyzVJ6QN7z1AqObl4ADCthTnl.flv
HBO强档 FHD,http://ali.hlspull.yximgs.com/live/ThoDuA6y07clx1msoBqME3BVQvjozNLM.flv
纬来电影 FHD,http://ali.hlspull.yximgs.com/live/Tqpjwd2xLAqX88760wFahWXeQYXYpjy0.flv
WBTV华纳影视 HD,http://ali.hlspull.yximgs.com/live/lhXJXWRMqalA79Tf9pRUqqGYLHUIvdS8.flv
CINEMAX FHD,http://ali.hlspull.yximgs.com/live/EFWMcHEp7fYcfT7YdXcIbHJ8pycMSU8O.flv
美亚电影台(国语) HD,http://ali.hlspull.yximgs.com/live/mqiQn5Qj9yWCAO20dpJYQ9FUyi5nCufn.flv
东森电影 FHD,http://ali.hlspull.yximgs.com/live/qJQ6Cs3QeBw2QewdcuzH9Z8x8oZ7QXaJ.flv
东森戏剧 FHD,http://ali.hlspull.yximgs.com/live/f2jG8VDWOnv7szVvIAgzFGY9yFNrq2bz.flv
Hits Movies HD,http://ali.hlspull.yximgs.com/live/TXvoMNfBg1D6I5AQkN0PqMCXOaz9QFNt.flv
龙祥时代 FHD,http://ali.hlspull.yximgs.com/live/3PAJwKD6IcDd1TA2o9W1OPWBxaX2Wrs0.flv
STAR MOVIES FHD,http://ali.hlspull.yximgs.com/live/tnFj4JzYDWNOpxr6Lovh4RIhMh9P3wlI.flv
HBO家庭 FHD,http://ali.hlspull.yximgs.com/live/tbjxKY5ACrzDAXilMZRbjNCV9EQAW4U6.flv
AXN洋片台 FHD,http://ali.hlspull.yximgs.com/live/zuVQWTC8r6efuyJNtEj5e4U2kLCc3Ijf.flv
卫视电影台,http://ali.hlspull.yximgs.com/live/HTMjWpgdsx9kKnUjLi53TxIB41rFY5Y8.flv
龙华洋片 HD,http://ali.hlspull.yximgs.com/live/PKJ8nhumu7UTnuJf6iejUXZngWRF5mGX.flv
探索动力 HD,http://ali.hlspull.yximgs.com/live/oiahmEgAxD2Afqr5gM8L0xDw25ovJSWI.flv
SPECTRUM SPORTSNET HD,http://ali.hlspull.yximgs.com/live/ttWNVA1gs6E1OR4IvYzZTR2QO9k6xF9B.flv
KIX格斗台 HD,http://ali.hlspull.yximgs.com/live/7G68OtHxbzDLuJwYQxaIw2KKutOQE965.flv
BOO HD,http://ali.hlspull.yximgs.com/live/xZbGz7QBwPHu4iIetlGshLI1NcgBZP7H.flv
国家地理野生 HD,http://ali.hlspull.yximgs.com/live/P2B0CVbu5Wa4rwyKzjW8l5EDclduinPe.flv
One HD,http://ali.hlspull.yximgs.com/live/8taV6EmNtANJ977HQmQRvNruqMV4sRI2.flv
